,card_number,expiry_date,card_provider,date_payment_confirmed
12,30301909697142,01/25,Diners Club / Carte Blanche,2015-02-20
13,6011195291689270,05/28,Discover,2009-08-28
14,6568001374463280,04/31,Discover,2009-10-22
15,213106393266992,12/22,JCB 15 digit,1995-06-08
16,180085149576723,12/25,JCB 15 digit,1996-05-25
17,344715766639692,09/24,American Express,2016-12-27
18,38956532439063,04/24,Diners Club / Carte Blanche,2011-10-27
19,3570958734210810,06/28,JCB 16 digit,2014-05-03
20,180047065187364,11/29,JCB 15 digit,2018-04-12
21,4600541652967480,12/25,VISA 16 digit,1998-01-03
22,6565120500090090,03/30,Discover,2007-10-26
23,4626500593672900,03/26,VISA 16 digit,2005-08-31
24,3596461081782240,12/27,JCB 16 digit,2004-07-12
25,2720650947590200,05/31,Mastercard,2014-08-15
26,3574699151887300,05/23,JCB 16 digit,2011-11-03
27,4164208116278290,02/26,VISA 16 digit,1996-03-09
28,4612144025277090,01/26,VISA 16 digit,2005-04-03
29,3584163056479080,09/29,JCB 16 digit,2022-05-04
30,3596618019051420,09/28,JCB 16 digit,2019-09-15
31,4178053056852150,08/31,VISA 16 digit,2015-04-28
32,501803218293,02/27,Maestro,2016-05-03
33,343157019047210,05/31,American Express,2008-09-16
34,4611247365307,02/23,VISA 13 digit,2005-05-29
35,3544160608798330,09/32,JCB 16 digit,2022-09-15
36,4578644474052830,03/28,VISA 16 digit,2008-08-17
37,580576207279,09/24,Maestro,2018-08-29
38,3570681635052280,11/27,JCB 16 digit,2018-10-07
39,180013150911555,11/27,JCB 15 digit,2012-09-03
40,4744018816214,03/32,VISA 13 digit,2017-11-27
41,4143511745094570,07/23,VISA 16 digit,2017-07-02
42,4016238261138350,04/23,VISA 16 digit,2012-10-04
43,?3544855866042397,10/28,JCB 16 digit,2020-08-25
44,6011832899341990,03/27,Discover,2018-09-17
45,3597913848008520,02/27,JCB 16 digit,2013-03-03
46,3561126864453930,10/28,JCB 16 digit,2017-11-29
47,3572419830428810,09/26,JCB 16 digit,2008-07-15
48,6011781355396140,12/24,Discover,1999-03-09
49,213118365964173,01/27,JCB 15 digit,1994-06-20
0,4886965108381960,06/27,VISA 16 digit,2001-04-29
1,213114799831633,01/29,JCB 15 digit,2000-10-30
2,4685002344578220,08/32,VISA 16 digit,2010-03-05
3,571322968801,12/31,Maestro,2017-03-31
4,3593995124929060,02/24,JCB 16 digit,2009-06-10
5,6011320049553840,07/30,Discover,2017-08-21
6,2270028586649430,05/31,Mastercard,2007-06-25
7,372195813875588,06/27,American Express,2008-02-22
8,2585759399780940,11/25,Mastercard,2022-03-11
9,3519792782755070,05/25,JCB 16 digit,1993-05-25
10,4656719950027290,06/26,VISA 16 digit,1997-12-15
11,30324705762571,12/31,Diners Club / Carte Blanche,1995-02-04
12,4422401957974,09/27,VISA 13 digit,2014-07-10
13,370949717792923,08/29,American Express,2020-01-01
14,4892352240986,12/24,VISA 13 digit,2017-12-02
15,346149985642964,12/24,American Express,2015-12-27
16,4314953475479550,06/25,VISA 16 digit,1993-08-28
17,4517314427393950,01/29,VISA 16 digit,2018-03-29
18,4350612856430,02/31,VISA 13 digit,2000-12-23
19,4562645385305260,08/26,VISA 16 digit,1998-03-17
20,4376650770704,09/24,VISA 13 digit,1996-04-07
21,639097892470,09/26,Maestro,1997-01-15
22,370448893829674,07/24,American Express,2000-03-23
23,4407426579317,12/28,VISA 13 digit,2001-02-24
24,3531693539003490,05/25,JCB 16 digit,2021-02-23
25,4905925615590810000,08/30,VISA 19 digit,2008-06-17
26,4642091670283290000,06/25,VISA 19 digit,1998-11-01
27,3591219536063670,08/26,JCB 16 digit,2014-11-01
28,6011240563246000,10/24,Discover,2006-03-14
29,213185279985859,05/29,JCB 15 digit,1999-11-14
30,6011914253781760,05/28,Discover,1995-11-28
31,4854922190554160,01/32,VISA 16 digit,1995-09-25
32,3580520311695670,01/27,JCB 16 digit,2016-12-27
33,36321178436612,07/30,Diners Club / Carte Blanche,2015-11-18
34,340203297766528,06/25,American Express,1998-06-22
35,4447106404550300,03/23,VISA 16 digit,2004-01-05
36,30170107016797,03/31,Diners Club / Carte Blanche,2005-09-29
37,345131587548170,03/32,American Express,2011-05-26
38,4627122444462720,01/29,VISA 16 digit,2001-11-01
39,30395571457124,03/30,Diners Club / Carte Blanche,2021-06-05
40,502023068625,02/28,Maestro,2010-12-08
41,4149858540237630,04/26,VISA 16 digit,2018-04-17
42,639044416563,06/24,Maestro,2011-07-04
43,4938159522953120,09/28,VISA 16 digit,1998-09-30
44,3588813354998000,09/29,JCB 16 digit,2008-06-15
45,180050586599984,06/28,JCB 15 digit,2011-02-24
46,4828408521326,08/32,VISA 13 digit,2000-12-09
47,6011170376470630,09/28,Discover,2005-01-12
48,36235438317695,09/32,Diners Club / Carte Blanche,2020-11-21
49,571969016435,08/28,Maestro,1996-10-17
0,372742019694394,11/30,American Express,2012-12-23
1,4293544442618160000,01/23,VISA 19 digit,2012-05-31
2,4745597728311000,01/23,VISA 16 digit,2005-01-02
3,4164457906292690,09/32,VISA 16 digit,2014-03-28
4,6518886210942450,08/28,Discover,2007-11-06
5,3528125197017320,11/23,JCB 16 digit,2002-10-29
6,3599840871177160,08/30,JCB 16 digit,1993-01-03
7,180016201027552,12/23,JCB 15 digit,2008-11-11
8,30261251235711,01/31,Diners Club / Carte Blanche,2004-01-19
9,2697737942669080,11/24,Mastercard,2016-10-19
10,6566815602316860,02/32,Discover,1993-01-22
11,30589776282218,02/30,Diners Club / Carte Blanche,2009-12-05
12,2714936250844250,07/28,Mastercard,2001-06-30
13,213166997845989,10/28,JCB 15 digit,2009-03-21
14,4679573773875810000,04/31,VISA 19 digit,1993-04-30
15,213181067835364,08/28,JCB 15 digit,2005-06-15
16,38481636865352,12/29,Diners Club / Carte Blanche,2021-08-28
17,3565633218854800,03/24,JCB 16 digit,2006-05-12
18,4968105275514740,02/24,VISA 16 digit,2021-12-22
19,4448951667507,02/30,VISA 13 digit,1994-12-09
20,180062394161337,11/27,JCB 15 digit,2004-01-03
21,180037173383468,10/25,JCB 15 digit,2018-04-06
22,4465867936222390000,06/24,VISA 19 digit,2011-11-04
23,4793159622988910000,11/23,VISA 19 digit,1993-08-26
24,4076601673644670,07/32,VISA 16 digit,2011-11-09
25,563907500596,05/23,Maestro,1994-12-01
26,4439245998199730000,09/24,VISA 19 digit,2000-01-20
27,180038106916655,12/24,JCB 15 digit,2002-09-17
28,213110288336878,02/31,JCB 15 digit,2002-09-05
29,36951150913764,07/29,Diners Club / Carte Blanche,1999-07-27
30,213140919543477,02/24,JCB 15 digit,2004-02-27
31,3576777595723510,05/25,JCB 16 digit,2017-05-03
32,213157205211965,04/23,JCB 15 digit,2015-01-19
33,4504062226035290,05/30,VISA 16 digit,2019-09-10
34,38568913231801,08/29,Diners Club / Carte Blanche,1995-04-03
35,6011304824521460,08/29,Discover,2018-09-21
36,180001635578123,01/31,JCB 15 digit,2003-10-19
37,4678005779308760,09/29,VISA 16 digit,1998-03-30
38,346083903577673,03/29,American Express,2021-11-25
39,6011473569822070,03/26,Discover,2020-04-07
40,4155364422539730000,08/32,VISA 19 digit,2005-02-18
41,4328261118728230,08/30,VISA 16 digit,2015-02-16
42,213113483778316,02/27,JCB 15 digit,2002-09-12
43,2267618204554010,07/32,Mastercard,2021-09-10
44,4971042898996890000,11/24,VISA 19 digit,2016-12-27
45,38088582728748,05/32,Diners Club / Carte Blanche,1995-09-14
46,2225271432152390,08/26,Mastercard,2005-05-24
47,4019205245042,05/27,VISA 13 digit,2010-06-24
48,3529705497147500,02/27,JCB 16 digit,2000-08-31
49,501829496667,03/30,Maestro,2017-03-17
0,342297052807574,12/27,American Express,2001-07-26
1,30076209934409,06/32,Diners Club / Carte Blanche,2013-09-01
2,2255421150914330,08/27,Mastercard,2003-03-18
3,4239987599508620,10/27,VISA 16 digit,2022-08-21
4,3591078409507260,08/27,JCB 16 digit,2013-09-02
5,4723338727493990,05/32,VISA 16 digit,2008-09-27
6,4468021290219450,10/26,VISA 16 digit,2000-04-18
7,4704599748038,01/26,VISA 13 digit,2000-12-05
8,30105614857382,06/30,Diners Club / Carte Blanche,2000-02-08
9,4412802039159,03/28,VISA 13 digit,2015-11-27
10,3566624463111700,01/28,JCB 16 digit,2003-04-04
11,30168062059208,06/24,Diners Club / Carte Blanche,2011-05-08
12,3566861827168460,12/28,JCB 16 digit,2004-07-22
13,340114008505578,01/28,American Express,2018-05-19
14,4952486239997,01/24,VISA 13 digit,2011-05-25
15,6594675506015410,01/26,Discover,1999-06-06
16,639080329555,04/29,Maestro,2019-12-26
17,4252200891268,07/23,VISA 13 digit,2009-12-26
18,3507172630227760,08/28,JCB 16 digit,2020-07-30
19,30186808867049,02/24,Diners Club / Carte Blanche,2012-07-16
20,6011506369822140,08/24,Discover,2004-04-23
21,676261212754,10/28,Maestro,2007-02-27
22,4076194111593,03/24,VISA 13 digit,2010-05-30
23,2416420127381010,11/23,Mastercard,2004-12-16
24,180091547171737,12/23,JCB 15 digit,2014-03-10
25,4705067291509590,04/26,VISA 16 digit,2004-08-06
26,347441203629942,09/24,American Express,2015-06-03
27,3582347721857350,12/31,JCB 16 digit,2017-10-07
28,4366269881846000,06/26,VISA 16 digit,2001-08-15
29,38628386196145,08/29,Diners Club / Carte Blanche,1997-03-10
30,4402838477875570000,10/30,VISA 19 digit,2008-08-11
31,2277954494635490,08/31,Mastercard,2019-08-03
32,213114024624803,07/32,JCB 15 digit,2008-01-02
33,6506037618874110,05/31,Discover,2005-04-05
34,4038666285622660,03/24,VISA 16 digit,1993-12-28
35,213143168051713,07/31,JCB 15 digit,2017-02-27
36,2720391866200640,10/23,Mastercard,1996-08-13
37,3541009702150080,12/22,JCB 16 digit,2004-11-12
38,3508904186819200,07/30,JCB 16 digit,2022-09-27
39,180079841370576,07/25,JCB 15 digit,1997-03-05
40,4589705082795140,05/29,VISA 16 digit,2008-10-03
41,4971553553466110000,01/32,VISA 19 digit,2000-01-18
42,180092405193169,04/27,JCB 15 digit,2018-01-25
43,4992941860015900000,02/30,VISA 19 digit,2013-06-07
44,4269143091251,10/27,VISA 13 digit,2020-12-07
45,6011298577045000,11/27,Discover,2018-07-06
46,6547185088440980,03/24,Discover,2015-01-03
47,5251530569949900,10/26,Mastercard,2003-03-15
48,4755587382619390,10/27,VISA 16 digit,1996-09-01
49,3565980762862530,05/26,JCB 16 digit,2001-08-30
0,4426730944135980,12/26,VISA 16 digit,2001-07-29
1,4272082622433,12/23,VISA 13 digit,2001-06-08
2,213184633045310,02/25,JCB 15 digit,2017-08-13
3,4220734222192370,09/24,VISA 16 digit,2000-01-23
4,2256252400373880,08/28,Mastercard,1994-10-03
5,213145108571007,11/28,JCB 15 digit,2009-02-25
6,4801298097225850000,05/32,VISA 19 digit,2008-12-22
7,348544847291984,08/29,American Express,2002-10-29
8,4781689074778820,11/27,VISA 16 digit,2011-01-03
9,344611558309570,01/25,American Express,2011-12-04
10,213117219217051,05/31,JCB 15 digit,2000-03-26
11,676275931670,01/32,Maestro,2006-06-20
12,341738926713051,10/31,American Express,2004-04-16
13,36506035806573,06/31,Diners Club / Carte Blanche,2010-05-19
14,343797306770840,10/25,American Express,2010-12-18
15,3561756160669690,04/25,JCB 16 digit,1996-04-09
16,345895662816682,02/28,American Express,2001-08-16
17,213170224412340,07/32,JCB 15 digit,2000-01-16
18,3580128182226930,08/30,JCB 16 digit,2005-10-20
19,4600665923972780,02/28,VISA 16 digit,1994-06-30
20,4976929570434860000,11/24,VISA 19 digit,2016-05-11
21,4522977319986,12/24,VISA 13 digit,2004-06-12
22,30166582471770,12/25,Diners Club / Carte Blanche,2006-05-23
23,30508573406481,11/28,Diners Club / Carte Blanche,2012-03-20
24,4159845201818610000,01/29,VISA 19 digit,1995-01-09
25,3519549182383620,03/30,JCB 16 digit,1998-10-17
26,30425128138883,07/26,Diners Club / Carte Blanche,1995-01-27
27,4898825250519950000,01/32,VISA 19 digit,2001-12-07
28,3551511725827800,07/32,JCB 16 digit,2014-12-02
29,3557195536165370,10/25,JCB 16 digit,2011-09-13
30,3587019558990140,08/28,JCB 16 digit,2013-12-14
31,4343805946353130,03/29,VISA 16 digit,2021-08-15
32,4273995811469,12/27,VISA 13 digit,2000-01-11
33,4540367224343900,09/28,VISA 16 digit,2017-03-23
34,4945124379648960,04/24,VISA 16 digit,2007-02-27
35,345467188366764,01/23,American Express,2004-04-22
36,30032853192521,05/28,Diners Club / Carte Blanche,2014-05-03
37,6595982931140200,01/23,Discover,1994-01-23
38,4394714943332,04/25,VISA 13 digit,2018-07-21
39,4299485147237260,12/29,VISA 16 digit,2011-05-25
40,6011389060766720,03/30,Discover,2013-10-02
41,4392084230035670000,02/23,VISA 19 digit,1999-02-12
42,639069219033,10/24,Maestro,2007-04-12
43,4772401395473500,02/24,VISA 16 digit,2013-04-12
44,3590199992393940,11/32,JCB 16 digit,1999-10-12
45,3500427086161130,11/23,JCB 16 digit,1997-03-17
46,30275159500513,07/26,Diners Club / Carte Blanche,2009-07-09
47,4958284490710050,11/28,VISA 16 digit,2019-07-02
48,4312845015077860000,08/24,VISA 19 digit,2004-07-12
49,5523635057499450,09/32,Mastercard,2002-01-09
0,4832613114700550,12/29,VISA 16 digit,2017-11-30
1,2652055979108500,03/25,Mastercard,1998-10-26
2,3546113496436220,03/25,JCB 16 digit,1996-09-15
3,4614622042987880000,08/30,VISA 19 digit,2000-09-13
4,4139278025126100000,11/23,VISA 19 digit,2010-09-06
5,4743350749577760,01/28,VISA 16 digit,2002-03-27
6,2613923816456660,12/26,Mastercard,2015-07-13
7,3532493652387510,04/24,JCB 16 digit,2020-03-23
8,587572641914,06/32,Maestro,2021-01-18
9,3542022245257880,07/28,JCB 16 digit,2015-08-01
10,3512736728281380,09/27,JCB 16 digit,1997-06-06
11,3586258340822920,12/29,JCB 16 digit,2003-05-19
12,5439112180805790,01/31,Mastercard,1999-12-19
13,180040711194793,12/25,JCB 15 digit,2015-12-26
14,3588476168770760,06/27,JCB 16 digit,2013-10-04
15,213125853976114,05/24,JCB 15 digit,2019-10-20
16,6011604759049150,04/25,Discover,2002-10-12
17,3525274402104950,11/30,JCB 16 digit,2007-06-29
18,4698877284163,12/29,VISA 13 digit,2000-10-30
19,4400508782495,08/30,VISA 13 digit,2007-01-22
20,4891319602784000,10/30,VISA 16 digit,2010-09-11
21,213148819987660,09/29,JCB 15 digit,2017-01-13
22,3552670636163560,01/23,JCB 16 digit,2017-01-17
23,2720842076609870,05/31,Mastercard,2003-09-12
24,3599072496194850,06/29,JCB 16 digit,1998-05-07
25,4984501996319,02/23,VISA 13 digit,2006-06-06
26,180078208239556,07/27,JCB 15 digit,2010-07-22
27,3506709929007360,01/30,JCB 16 digit,2002-04-02
28,343321965570142,07/23,American Express,1997-08-10
29,3585781211561160,07/23,JCB 16 digit,2020-11-07
30,3590992123798160,04/32,JCB 16 digit,2001-10-29
31,379729577857490,01/29,American Express,1995-06-20
32,3530516574999150,05/24,JCB 16 digit,1996-12-26
33,30588478274119,11/26,Diners Club / Carte Blanche,1999-07-28
34,574096843358,10/24,Maestro,2018-10-06
35,4071926877900,02/24,VISA 13 digit,2020-05-13
36,3524777785165180,04/26,JCB 16 digit,2008-09-16
37,340475094734061,07/31,American Express,2012-06-09
38,501867648526,12/25,Maestro,1994-05-13
39,6580893235261790,09/28,Discover,2000-09-17
40,4926986189588060,10/24,VISA 16 digit,2019-08-06
41,6011352756732530,11/24,Discover,2022-06-18
42,2355091253154760,10/29,Mastercard,1999-08-18
43,349150616577691,06/23,American Express,2017-10-14
44,4522465664411840000,06/26,VISA 19 digit,2010-10-23
45,213187859645101,03/23,JCB 15 digit,2022-07-02
46,3568894886745230,01/29,JCB 16 digit,1997-11-29
47,6568981861920210,07/28,Discover,2000-06-12
48,3569813743470530,11/28,JCB 16 digit,2016-10-31
49,376681313667258,08/28,American Express,2002-01-25
0,639024893252,09/31,Maestro,1997-10-12
1,4062680855236480,03/25,VISA 16 digit,2022-06-07
2,4053260026206180,07/23,VISA 16 digit,2015-11-09
3,4724488831002770000,01/23,VISA 19 digit,2008-04-10
4,3558509178405090,06/23,JCB 16 digit,2008-11-15
5,4816780727561,09/23,VISA 13 digit,2001-10-08
6,180017632159600,10/27,JCB 15 digit,1995-03-01
7,4933491571574,02/31,VISA 13 digit,2014-11-19
8,4488599309760120,08/30,VISA 16 digit,2008-07-06
9,6011467664472190,04/31,Discover,2019-10-10
10,572549937157,03/28,Maestro,2013-02-27
11,4771466087451,11/27,VISA 13 digit,2015-07-12
12,180018119265407,10/25,JCB 15 digit,2019-11-29
13,4282811368331,11/29,VISA 13 digit,2012-08-21
14,213127445277308,04/27,JCB 15 digit,1994-04-18
15,3507215064258090,04/26,JCB 16 digit,2019-04-16
16,213125851968550,04/32,JCB 15 digit,1994-11-12
17,3554616895727910,10/31,JCB 16 digit,2004-08-22
18,3585729726376570,09/25,JCB 16 digit,1998-07-26
19,4313672421554280,05/25,VISA 16 digit,1994-03-03
20,4997830257423630,06/24,VISA 16 digit,2009-12-09
21,4512715800348450,09/27,VISA 16 digit,2013-04-04
22,213139256212381,10/28,JCB 15 digit,1992-12-31
23,4341040430080550000,10/26,VISA 19 digit,2010-05-31
24,4485595623941100,05/28,VISA 16 digit,2008-12-12
25,6011973164867440,09/27,Discover,2003-02-03
26,4138255676917760,12/26,VISA 16 digit,2006-08-05
27,4513506521152910,09/30,VISA 16 digit,1998-03-11
28,501814790520,11/28,Maestro,2022-06-19
29,4967647046966,07/28,VISA 13 digit,2012-01-01
30,4636001330962090,08/27,VISA 16 digit,2003-08-11
31,4832838013110,06/23,VISA 13 digit,1993-07-04
32,3560510480525240,10/24,JCB 16 digit,2012-10-31
33,348096754699964,03/25,American Express,1992-11-23
34,4998656791784070,07/23,VISA 16 digit,2005-07-30
35,2562120747063890,05/27,Mastercard,2017-12-12
36,4346907526985160,10/25,VISA 16 digit,2013-11-23
37,6557939085236470,03/31,Discover,2002-02-19
38,2245736619014510,10/25,Mastercard,2014-02-15
39,4700170362033370,02/24,VISA 16 digit,2011-03-16
40,4842690568611020,12/28,VISA 16 digit,2005-10-16
41,4568098124862,06/23,VISA 13 digit,1997-11-22
42,4258831487270300000,07/30,VISA 19 digit,2009-03-24
43,6524075571950300,02/26,Discover,2006-08-12
44,6011321057599630,10/24,Discover,2001-04-06
45,2666967106848010,12/25,Mastercard,1997-06-26
46,6559537491782130,01/32,Discover,2008-04-11
47,4874685335066270,07/23,VISA 16 digit,2004-07-11
48,4154075577186560000,09/27,VISA 19 digit,1995-07-31
49,180023207187802,09/32,JCB 15 digit,1993-04-14
0,30174382287008,05/25,Diners Club / Carte Blanche,2021-10-03
1,503860089302,09/31,Maestro,2005-05-29
2,30150945519400,01/24,Diners Club / Carte Blanche,2003-11-11
3,2291314715295180,07/25,Mastercard,2013-12-23
4,4625651795767,06/31,VISA 13 digit,2016-11-08
5,3525728021158420,04/30,JCB 16 digit,2019-01-21
6,4617129189463710,02/24,VISA 16 digit,2005-08-06
7,4913711637153700,02/24,VISA 16 digit,1997-07-02
8,3565227532678730,09/26,JCB 16 digit,1994-08-25
9,4493601081899980,02/29,VISA 16 digit,2007-05-13
10,3565571789853160,04/30,JCB 16 digit,2013-08-26
11,639066846416,12/31,Maestro,2006-10-29
12,3586223354883660,04/32,JCB 16 digit,2002-01-29
13,5345239542461450,06/29,Mastercard,2016-04-17
14,6599029791714380,03/26,Discover,2010-11-13
15,6509307711120820,01/31,Discover,2018-08-11
16,3511203457789000,01/31,JCB 16 digit,2021-11-07
17,576814680798,01/31,Maestro,2009-10-30
18,3585472281472040,07/23,JCB 16 digit,2011-10-30
19,60418222240,08/28,Maestro,1997-09-06
20,4264219621381670,07/29,VISA 16 digit,1996-06-08
21,4466046325705670,02/23,VISA 16 digit,2007-04-29
22,344903839808284,04/23,American Express,2008-03-28
23,347910091371791,01/27,American Express,2021-07-21
24,180077382459881,02/28,JCB 15 digit,2021-08-19
25,4721998533308,04/32,VISA 13 digit,2017-05-01
26,2294672051872170,11/23,Mastercard,2009-09-03
27,4727029654468,11/27,VISA 13 digit,2013-01-23
28,213167960691939,10/26,JCB 15 digit,1998-12-27
29,375845944287411,12/28,American Express,2021-09-10
30,6011674656876450,08/31,Discover,2001-11-23
31,503858307179,11/32,Maestro,2021-11-12
32,6011725079509290,12/25,Discover,2020-04-26
33,3595354917520670,03/24,JCB 16 digit,1996-11-07
34,6573435187639700,06/29,Discover,2019-09-27
35,6536958273530650,02/26,Discover,2008-03-20
36,4761549550045280,04/27,VISA 16 digit,2008-07-19
37,4123185089212,07/25,VISA 13 digit,2004-01-02
38,30429410276450,06/27,Diners Club / Carte Blanche,2003-06-02
39,6011108367589250,05/28,Discover,2016-09-01
40,213142216505647,06/23,JCB 15 digit,2000-06-30
41,4512195640552,11/28,VISA 13 digit,1993-08-19
42,213137441299826,04/25,JCB 15 digit,2003-01-26
43,342726085414933,06/27,American Express,2022-04-08
44,5243854423968960,04/32,Mastercard,2011-11-15
45,5489725295525790,11/31,Mastercard,2016-07-14
46,180001877925925,02/29,JCB 15 digit,2018-08-28
47,4898970868751,09/30,VISA 13 digit,1996-12-04
48,4880702141452230,04/32,VISA 16 digit,2008-11-14
49,371734047712521,12/30,American Express,1995-07-24
0,4265084499367800,05/30,VISA 16 digit,2010-04-01
1,3576905210523420,11/29,JCB 16 digit,1996-02-29
2,577885863099,03/28,Maestro,2006-12-25
3,4774859608173870,01/28,VISA 16 digit,1997-07-18
4,4219076346318890,01/26,VISA 16 digit,2016-11-07
5,4599366174257790,08/28,VISA 16 digit,2000-01-24
6,4040670768782720,07/26,VISA 16 digit,2017-05-10
7,6011425275361410,03/29,Discover,2022-03-29
8,501850321503,11/23,Maestro,2009-02-22
9,60405940630,03/28,Maestro,2003-03-16
10,344650184519541,09/24,American Express,2016-10-09
11,4884582446907850,03/29,VISA 16 digit,1999-05-12
12,376163041303860,01/30,American Express,1995-08-13
13,2327499315042140,01/30,Mastercard,2019-07-28
14,4788769903093,06/29,VISA 13 digit,1996-07-04
15,4424936352676860,09/26,VISA 16 digit,2019-08-01
16,6011748671417830,02/25,Discover,2020-04-16
17,2254746135150890,08/28,Mastercard,2017-11-18
18,60417397183,01/29,Maestro,2015-06-07
19,4879610934353630,03/30,VISA 16 digit,2010-04-25
20,180011905680558,03/23,JCB 15 digit,2020-10-08
21,576644295353,01/23,Maestro,1994-12-28
22,2424371328348900,12/29,Mastercard,2008-07-08
23,3569131032758200,06/31,JCB 16 digit,2005-09-29
24,5355308317670350,05/26,Mastercard,2000-05-15
25,4960760822198090,09/24,VISA 16 digit,1999-11-09
26,5144974621717870,11/24,Mastercard,2011-04-30
27,5564178667671360,11/23,Mastercard,2019-05-18
28,3506475661688300,07/25,JCB 16 digit,2014-06-16
29,377306151157506,08/30,American Express,2006-06-18
30,349615322345930,06/29,American Express,1999-06-26
31,30086658450625,10/31,Diners Club / Carte Blanche,1996-02-04
32,30548262792981,07/32,Diners Club / Carte Blanche,2020-02-23
33,2618088305841330,07/23,Mastercard,2022-08-01
34,4634649873512,09/24,VISA 13 digit,1993-05-16
35,4121662233454350,01/23,VISA 16 digit,1997-02-05
36,582172676014,11/23,Maestro,2018-03-22
37,4608566414683340000,09/30,VISA 19 digit,2020-04-28
38,3563715195889110,05/28,JCB 16 digit,2010-11-21
39,3512057650735260,09/27,JCB 16 digit,2018-07-06
40,4772663517506,11/24,VISA 13 digit,2006-05-17
41,213177126905479,12/30,JCB 15 digit,2011-03-30
42,38354953994842,07/23,Diners Club / Carte Blanche,1998-06-15
43,676386414673,05/27,Maestro,1999-09-13
44,341951887144071,09/24,American Express,2013-04-23
45,30495228193971,03/28,Diners Club / Carte Blanche,1994-06-04
46,180011166820174,12/28,JCB 15 digit,2007-12-05
47,372234183837546,04/25,American Express,2020-10-04
48,213142563269201,01/24,JCB 15 digit,2000-02-01
49,4016221874895090000,02/23,VISA 19 digit,1997-08-05
0,213159212376427,05/24,JCB 15 digit,2004-09-25
1,562603718361,05/23,Maestro,2019-11-18
2,2289070107587060,08/28,Mastercard,1992-12-12
3,4987895814529370,08/30,VISA 16 digit,2001-01-20
4,4613613618058910,02/27,VISA 16 digit,2001-07-30
5,4385247111592330,11/31,VISA 16 digit,2012-08-10
6,2590027715422260,12/29,Mastercard,2019-04-22
7,213178148114298,11/29,JCB 15 digit,2007-05-21
8,630410020113,07/27,Maestro,2002-10-28
9,30112192110077,08/27,Diners Club / Carte Blanche,2020-11-04
10,4225804087559780,09/29,VISA 16 digit,2010-06-17
11,639014781459,11/28,Maestro,2001-07-19
12,3528870974185180,12/28,JCB 16 digit,2011-07-26
13,4739263473919140000,09/32,VISA 19 digit,2000-06-01
14,4926005050168,06/29,VISA 13 digit,1994-01-03
15,4556210691843,12/28,VISA 13 digit,1999-06-01
16,4127220391666930,02/32,VISA 16 digit,2019-02-04
17,5346412404331360,08/29,Mastercard,2007-06-10
18,180079105159152,11/29,JCB 15 digit,1998-07-28
19,3558549358229010,06/31,JCB 16 digit,2018-07-17
20,2241121290145200,04/23,Mastercard,2003-02-05
21,3594631007876050,12/30,JCB 16 digit,2006-01-25
22,4141017829447820,07/26,VISA 16 digit,2018-01-18
23,3522198494294980,09/28,JCB 16 digit,2004-01-09
24,30359306929914,04/31,Diners Club / Carte Blanche,2014-10-14
25,4181218306896,03/28,VISA 13 digit,2015-02-10
26,4902943817040680000,04/32,VISA 19 digit,1999-09-28
27,4006275855753910000,04/30,VISA 19 digit,2019-01-18
28,4222067142463300,07/26,VISA 16 digit,2019-03-16
29,6011172503980430,09/28,Discover,2012-08-10
30,4613042671193820000,06/31,VISA 19 digit,2020-10-01
31,6552768406459970,12/26,Discover,2000-10-08
32,6011428107046860,12/24,Discover,2011-02-25
33,2580790788273520,09/32,Mastercard,1995-04-15
34,180084781285685,06/29,JCB 15 digit,2004-05-29
35,4049546827929820,03/31,VISA 16 digit,2017-12-04
36,3588677923289130,02/24,JCB 16 digit,2007-12-03
37,4505393521861890,01/32,VISA 16 digit,2004-06-23
38,4997896450184570000,10/32,VISA 19 digit,2007-01-31
39,676387035857,10/30,Maestro,2014-03-09
40,4149584196702860,10/32,VISA 16 digit,2021-02-16
41,4880068130286290,06/30,VISA 16 digit,2008-04-03
42,30447337726670,06/29,Diners Club / Carte Blanche,2014-02-18
43,180008732827188,05/28,JCB 15 digit,1999-06-23
44,4585160105692610,02/30,VISA 16 digit,2021-10-10
45,4737568021700000,11/26,VISA 16 digit,2016-04-09
46,3553770659224810,09/25,JCB 16 digit,1999-04-13
47,4972105258137,12/29,VISA 13 digit,2017-05-23
48,4286768769300,10/32,VISA 13 digit,1999-10-26
49,4514618199754200,09/30,VISA 16 digit,1996-03-29
0,38044054832831,04/28,Diners Club / Carte Blanche,2022-06-14
1,3576114501400750,03/31,JCB 16 digit,2018-09-04
2,4385820259415960,12/30,VISA 16 digit,2016-06-19
3,4826627047807970000,05/31,VISA 19 digit,2013-06-30
4,4178383599701,10/25,VISA 13 digit,2005-08-19
5,6531270076210390,01/26,Discover,2014-02-16
6,4597755625233830000,07/26,VISA 19 digit,2005-12-19
7,4599397748402900,12/30,VISA 16 digit,2009-10-01
8,3520494154810890,10/28,JCB 16 digit,1999-04-24
9,3536446111911780,12/24,JCB 16 digit,1996-12-18
10,4187579810676410,08/28,VISA 16 digit,2019-01-08
11,5226243726631050,01/32,Mastercard,2002-05-09
12,2457455272931090,08/29,Mastercard,2015-09-14
13,344197479764770,01/27,American Express,2002-05-12
14,30396211173584,03/28,Diners Club / Carte Blanche,2014-07-31
15,4395625635248,01/32,VISA 13 digit,1997-01-29
16,3536887934107920,07/25,JCB 16 digit,2002-11-20
